       106221  Joliet city, IL
       105167  Lowell city, MA
       105166  Provo city, UT
       105080  West Covina city, CA
       104197  Wichita Falls city, TX
       103717  Erie city, PA
       103621  Daly City city, CA
       103455  Clarksville city, TN
       103298  Norwalk city, CA
       102746  Gary city, IN
       102743  Berkeley city, CA
       102361  Santa Clara city, CA
       102313  Green Bay city, WI
       102286  Cape Coral city, FL
       102153  Arvada city, CO
       102121  Pueblo city, CO
       101355  Cambridge city, MA
       100940  Westminster city, CO
       100916  San Buenaventura (Ventura) city, CA
       100565  Portsmouth city, VA
       100545  Livonia city, MI
       100316  Burbank city, CA
       100266  Athens-Clarke County (balance), GA
        99216  Richmond city, CA
        98359  Davenport city, IA
        97775  Dearborn city, MI
        97687  Edison CDP, NJ
        97255  Macon city, GA
        96650  Charleston city, SC
        96375  South Gate city, CA
        96178  Fairfield city, CA
        96025  Arden-Arcade CDP, CA
        95694  Norman city, OK
        95658  Albany city, NY
        95648  Clinton CDP, MI
        95447  Gainesville city, FL
        94996  Midland city, TX
        94911  Roanoke city, VA
        94869  El Cajon city, CA
        94673  Boulder city, CO
        94536  Cary town, NC
        94487  Elgin city, IL
        94304  Brockton city, MA
        93768  New Bedford city, MA
        93493  Compton city, CA
        93102  Mission Viejo city, CA
        92962  Olathe city, KS
        92757  Lawton city, OK
        92482  San Mateo city, CA
        92325  Santa Barbara city, CA
        91938  Fall River city, MA
        91873  Rialto city, CA
        91802  Richardson city, TX
        91565  Visalia city, CA
        91488  Everett city, WA
        90943  Odessa city, TX
        90599  Fargo city, ND
        90532  Antioch city, CA
        90352  Kenosha city, WI
        90205  Gresham city, OR
        89857  Vista city, CA
        89847  Billings city, MT
        89730  Carson city, CA
        89050  Lynn city, MA
        88769  Port St. Lucie city, FL
        88680  Caguas zona urbana, PR
        88625  Vacaville city, CA
        88439  San Angelo city, TX
        88418  Sandy city, UT
        88254  Columbia CDP, MD
        88207  Westminster city, CA
        88025  Quincy city, MA
        87933  Miami Beach city, FL
        87901  Waukegan city, IL
        86918  Duluth city, MN
        86911  Killeen city, TX
        86605  Nashua city, NH
        86602  Westland city, MI
        86327  Toms River CDP, NJ
        85839  High Point city, NC
        85808  Warwick city, RI
        85806  Rochester city, MN
        85804  Alhambra city, CA
        85781  Sandy Springs CDP, GA
        85779  Sunrise city, FL
        85655  Parma city, OH
        85616  Cicero town, IL
        85403  Trenton city, NJ
        85172  Bloomington city, MN
        85071  Citrus Heights city, CA
        85013  Sioux City city, IA
        84531  Columbia city, MO
        84324  Orem city, UT
        84112  Hawthorne city, CA
        84084  Santa Monica city, CA
        83829  Newton city, MA
        83680  Whittier city, CA
        83650  Tyler city, TX
        83259  Federal Way city, WA
        83048  Hammond city, IN
        82951  Norwalk city, CT
        82934  Plantation city, FL
        82384  Thornton city, CO
        82111  Farmington Hills city, MI
        82103  West Palm Beach city, FL
        82026  Youngstown city, OH
