    34660,WA, 5340245,                15225,     35481627,      1048593,  13.699533,   0.404864, 46.142733, -122.955636 ,Longview                                     
    34609,CA, 0612524,                10773,     17968279,            0,   6.937592,   0.000000, 37.601328, -120.957166 ,Ceres                                        
    34580,WA, 5310372,                13456,     22973088,           62,   8.869959,   0.000024, 47.448873, -122.169361 ,Cascade-Fairwood CDP                              
    34514,ID, 1616750,                14929,     34003414,      1210370,  13.128792,   0.467326, 47.692845, -116.779910 ,Coeur d'Alene                                
    34496,IL, 1781087,                13697,     21756620,        94151,   8.400278,   0.036352, 42.131526,  -87.929586 ,Wheeling village                                  
    34469,ID, 1682810,                14162,     31105191,            0,  12.009782,   0.000000, 42.561420, -114.463715 ,Twin Falls                                   
    34439,MN, 2754214,                15357,     17860943,       460472,   6.896149,   0.177789, 44.877164,  -93.281248 ,Richfield                                    
    34413,CA, 0634120,                 9924,     17016727,            0,   6.570195,   0.000000, 36.847108, -121.398308 ,Hollister                                    
    34309,CA, 0639173,                11610,     17467564,         2660,   6.744264,   0.001027, 38.423872, -121.427421 ,Laguna CDP                                        
    34282,FL, 1228450,                25022,     10903753,       893324,   4.209963,   0.344914, 25.986719,  -80.146024 ,Hallandale                                   
    34252,MD, 2416875,                12524,     10403463,        51255,   4.016800,   0.019790, 38.968210,  -76.979046 ,Chillum CDP                                       
    34243,CT, 0977270,                12160,     60309222,       604381,  23.285522,   0.233353, 41.256129,  -73.212278 ,Trumbull CDP                                      
    34211,MS, 2874840,                14551,    132362550,       825079,  51.105468,   0.318565, 34.259585,  -88.725885 ,Tupelo                                       
    34138,CA, 0685614,                 9042,      9693194,            0,   3.742563,   0.000000, 33.917515, -118.252705 ,Willowbrook CDP                                   
    34113,OH, 3956882,                14059,     30124331,            0,  11.631070,   0.000000, 41.415097,  -81.914366 ,North Olmsted                                
    34104,WA, 5361115,                11599,     46761044,       648098,  18.054541,   0.250232, 47.608842, -122.042300 ,Sammamish                                    
    34077,MI, 2624290,                13965,     13214841,            0,   5.102279,   0.000000, 42.466086,  -82.946417 ,Eastpointe                                   
    34053,WI, 5548500,                15007,     43687067,       820179,  16.867672,   0.316673, 44.096461,  -87.675002 ,Manitowoc                                    
    34038,NY, 3650100,                11161,     40410374,      1802509,  15.602533,   0.695953, 41.145495,  -73.994901 ,New City CDP                                      
    34024,UT, 4953230,                13327,     24877020,            0,   9.605072,   0.000000, 40.652397, -111.893229 ,Murray                                       
    33998,CA, 0613756,                11559,     34042830,       730923,  13.144011,   0.282211, 34.110009, -117.719734 ,Claremont                                    
    33938,AZ, 0457380,                17144,     96001682,       619310,  37.066458,   0.239117, 34.568210, -112.461482 ,Prescott                                     
    33904,IL, 1718563,                14886,     44038005,       246479,  17.003170,   0.095166, 40.139273,  -87.621507 ,Danville                                     
    33892,MT, 3011397,                15833,   1854720837,      1722132, 716.111749,   0.664919, 45.960929, -112.562536 ,Butte-Silver Bow                         
    33867,TX, 4819792,                11895,     39979289,        28452,  15.436090,   0.010985, 29.370716, -100.895839 ,Del Rio                                      
    33862,SC, 4534045,                24647,    108937378,     34947651,  42.060959,  13.493364, 32.178828,  -80.742947 ,Hilton Head Island                           
    33857,IL, 1758447,                14038,     34057303,      1542682,  13.149599,   0.595633, 40.567788,  -89.636949 ,Pekin                                        
    33852,CA, 0645400,                15034,     10187019,     16655300,   3.933230,   6.430648, 33.888980, -118.405357 ,Manhattan Beach                              
    33847,WA, 5340840,                13808,     19783006,        42354,   7.638262,   0.016353, 47.827868, -122.305391 ,Lynnwood                                     
    33841,GA, 1363952,                12106,     24745197,       128388,   9.554174,   0.049571, 33.739256,  -84.165781 ,Redan CDP                                         
    33826,CA, 0668028,                11320,     36791664,       361168,  14.205341,   0.139448, 33.499493, -117.661614 ,San Juan Capistrano                          
    33784,CA, 0606308,                15856,     14696078,            0,   5.674188,   0.000000, 34.073109, -118.399460 ,Beverly Hills                                
    33769,AZ, 0408220,                18430,    117145458,      1887294,  45.230116,   0.728688, 35.115643, -114.588655 ,Bullhead City                                
    33740,VA, 5161832,                15955,     59260966,       789462,  22.880788,   0.304813, 37.212950,  -77.400417 ,Petersburg                                   
    33714,TX, 4827684,                13683,    180990812,       422934,  69.880946,   0.163296, 33.141263,  -96.813120 ,Frisco                                       
    33711,TX, 4826736,                 5941,     38707521,       136233,  14.945058,   0.052600, 31.130072,  -97.780260 ,Fort Hood CDP                                     
    33706,IL, 1728326,                14133,     43761079,       459925,  16.896248,   0.177578, 40.952292,  -90.368545 ,Galesburg                                    
    33698,MA, 2507700,                12921,     34712706,      1628365,  13.402651,   0.628715, 42.209555,  -70.999683 ,Braintree CDP                                     
    33690,MN, 2755852,                14917,     34300445,      1535812,  13.243476,   0.592980, 45.014065,  -93.153059 ,Roseville                                    
    33686,OH, 3979002,                14432,     25287358,        56167,   9.763504,   0.021686, 40.020613,  -83.066520 ,Upper Arlington                              
    33659,UT, 4940470,                 9413,     12464272,            0,   4.812483,   0.000000, 40.653179, -112.006763 ,Kearns CDP                                        
    33556,PA, 4206064,                13871,     30284454,            0,  11.692894,   0.000000, 40.327102,  -80.037491 ,Bethel Park borough                               
    33556,CA, 0649278,                11091,     30213067,            0,  11.665331,   0.000000, 37.126795, -121.643166 ,Morgan Hill                                  
    33522,FL, 1267575,                10364,     12767100,        10600,   4.929405,   0.004093, 25.588784,  -80.385209 ,South Miami Heights CDP                           
    33519,FL, 1227313,                14483,     24784372,      1850598,   9.569300,   0.714520, 28.058166,  -82.515413 ,Greater Carrollwood CDP                           
    33515,MD, 2475762,                14379,     14447935,            0,   5.578379,   0.000000, 38.850462,  -76.923742 ,Suitland-Silver Hill CDP                          
    33496,IN, 1861092,                13375,     65931996,      5103475,  25.456487,   1.970463, 41.581850,  -87.186553 ,Portage                                      
    33435,IL, 1753481,                12492,     33458938,       127283,  12.918569,   0.049144, 42.129226,  -87.840715 ,Northbrook village                                
    33430,FL, 1239925,                14486,    245755119,      2833812,  94.886586,   1.094141, 26.608403,  -81.639224 ,Lehigh Acres CDP                                  
    33388,OH, 3909680,                12251,     32480709,       109842,  12.540872,   0.042410, 41.244051,  -81.828360 ,Brunswick                                    
    33379,MD, 2469350,                12064,     30555555,       330519,  11.797566,   0.127614, 38.605540,  -76.915785 ,St. Charles CDP                                   
    33377,CA, 0678148,                11674,     10397910,            0,   4.014656,   0.000000, 34.102641, -118.057979 ,Temple City                                  
    33286,PR, 7227964,                13526,     21197489,       106674,   8.184397,   0.041187, 18.332469,  -65.656601 ,Fajardo zona urbana                               
    33262,NY, 3653682,                14425,     26159247,      2172162,  10.100142,   0.838676, 43.041006,  -78.868920 ,North Tonawanda                              
    33108,HI, 1579700,                 8033,      6656127,       159015,   2.569945,   0.061396, 21.392500, -158.010710 ,Waipahu CDP                                       
    33099,WV, 5462140,                16100,     30610644,      1008361,  11.818836,   0.389330, 39.266175,  -81.542139 ,Parkersburg                                  
    33055,TN, 4716540,                14322,     76661776,        27737,  29.599278,   0.010709, 35.615022,  -87.044464 ,Columbia                                     
    33049,CA, 0648788,                 9066,     13204456,            0,   5.098269,   0.000000, 34.070960, -117.697531 ,Montclair                                    
    33017,PA, 4251704,                14089,     15669753,        10420,   6.050126,   0.004023, 40.376769,  -80.049110 ,Mount Lebanon CDP                                 
    33011,WA, 5356695,                13467,     31442074,       201925,  12.139853,   0.077964, 47.184870, -122.292224 ,Puyallup                                     
    32986,MA, 2573440,                15008,     10645026,       136123,   4.110068,   0.052557, 42.371296,  -71.181961 ,Watertown                                    
    32913,CO, 0884440,                14931,     23541830,        43330,   9.089552,   0.016730, 39.771317, -105.096117 ,Wheat Ridge                                  
    32900,IN, 1848798,                14221,     50763026,      9110179,  19.599715,   3.517460, 41.709389,  -86.886928 ,Michigan City                                
    32885,UT, 4965110,                11053,     19671330,            0,   7.595143,   0.000000, 41.170614, -112.048674 ,Roy                                          
    32884,MO, 2979820,                11229,    171017386,      1022962,  66.030185,   0.394968, 38.581653,  -90.649427 ,Wildwood                                     
    32868,NJ, 3455020,                12665,      5711866,         5579,   2.205364,   0.002154, 40.768300,  -74.236031 ,Orange CDP                                        
    32837,CA, 0657764,                14034,     18354609,            0,   7.086754,   0.000000, 37.951672, -122.072324 ,Pleasant Hill                                
    32808,GA, 1324768,                14599,     31289751,       113546,  12.081041,   0.043840, 33.942751,  -84.317694 ,Dunwoody CDP                                      
    32797,FL, 1207525,                23329,     91397582,     14807050,  35.288805,   5.717034, 26.349654,  -81.790937 ,Bonita Springs                               
    32782,FL, 1220108,                14526,     15460693,       562114,   5.969407,   0.217033, 28.015396,  -82.507311 ,Egypt Lake-Leto CDP                               
    32776,IL, 1714026,                11444,     24789474,        29495,   9.571270,   0.011388, 41.512034,  -87.640201 ,Chicago Heights                              
    32733,NY, 3654441,                11396,     12995621,      1045603,   5.017638,   0.403710, 40.636286,  -73.637404 ,Oceanside CDP                                     
    32732,FL, 1254200,                14929,    131352143,      2540134,  50.715348,   0.980751, 29.538128,  -81.223385 ,Palm Coast                                   
    32721,CA, 0640326,                10236,     14502478,      1493482,   5.599438,   0.576637, 32.712057, -117.003862 ,La Presa CDP                                      
    32709,TX, 4845072,                13402,     69150735,       340010,  26.699249,   0.131279, 31.336874,  -94.730374 ,Lufkin                                       
    32667,NM, 3516420,                14269,     57993492,       253438,  22.391413,   0.097853, 34.412509, -103.204611 ,Clovis                                       
    32657,NY, 3624273,                10151,      8819821,         7272,   3.405352,   0.002808, 40.701641,  -73.702458 ,Elmont CDP                                        
    32647,WI, 5551000,                13140,     86184297,        17644,  33.275945,   0.006812, 43.151183,  -88.110346 ,Menomonee Falls village                           
    32636,OH, 3929106,                12390,     32104791,            0,  12.395730,   0.000000, 40.026713,  -82.869131 ,Gahanna                                      
    32623,LA, 2254035,                12880,     27354545,            0,  10.561649,   0.000000, 30.003577,  -91.818454 ,New Iberia                                   
